,January Week 2 ( 1/11/26 - 1/17/26 ),,,,,,,,,,,,,,,,,,,,,
Edit: 1/8/26 2:42 pm,Monday 1/12,,,Tuesday 1/13,,,Wednesday 1/14,,,Thursday 1/15,,,Friday 1/16,,,Saturday 1/17,,,Weekly Totals,,,Sunday 1/11
,SO,VN,VE,SO,VN,VE,SO,VN,VE,SO,VN,VE,SO,VN,VE,SO,VN,VE,SO,VN,VE,DOG PPL
,Dentistry,,,,,,,,,,,,,,,,,,,,,
NEAT New,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
NEAT Returning,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
NAD New,2,2,4,,3,1,0,0,1,,2,1,4,3,0,,3,2,6,13,9,
NAD Returning,10,5,7,,5,5,9,2,2,,5,1,5,3,4,,6,5,24,26,24,
OE New,0,0,0,,1,3,0,0,0,,0,0,0,1,0,,0,1,0,2,4,
OE Returning,0,0,0,,0,1,0,0,1,,0,0,0,0,0,,0,1,0,0,3,
Dental Avail,3,10,2,,7,10,6,12,9,,10,19,6,11,9,,9,13,15,59,62,
Totals Booked,12,7,11,0,9,10,9,2,4,0,7,2,9,7,4,0,9,9,30,41,40,
,Advanced Procedures,,,,,,,,,,,,,,,,,,,,,
AP,4,4,0,,4,2,,4,3,,3,2,,4,2,,1,3,4,20,12,
OE/AP,0,0,2,,0,0,,0,0,,0,1,,0,0,,0,0,0,0,3,
AP Avail,0,0,2,,0,2,,2,1,,1,1,,1,2,,2,0,0,6,8,
Post AP Recheck,0,2,0,,1,0,,0,0,,1,0,,1,0,,0,0,0,5,0,
Totals Booked,4,4,2,0,4,2,0,4,3,0,3,3,0,4,2,0,1,3,4,20,15,
,Wellness,,,,,,,,,,,,,,,,,,,,,
VE New,1,0,3,,0,2,0,0,0,,0,0,0,2,4,,0,0,1,2,9,
VE Returning,2,3,3,,2,4,1,1,7,,1,4,0,0,3,,2,3,3,9,24,
VE Avail,1,1,0,,2,0,3,2,0,,3,0,4,2,0,,3,1,8,13,1,
Totals Booked,3,3,6,0,2,6,1,1,7,0,1,4,0,2,7,0,2,3,4,11,33,
UC Openings,3,4,4,,4,4,3,4,4,,4,4,3,4,4,,4,4,9,24,24,
,Add-on Services,,,,,,,,,,,,,,,,,,,,,
Tech Services,0,2,7,,0,5,2,2,4,,0,1,1,2,4,,3,5,3,9,26,
Bloodwork,0,0,0,,0,2,0,0,0,,0,0,0,0,1,,0,0,0,0,3,
Add-on Avail,7,6,0,,8,0,7,6,4,,8,6,7,6,2,,6,3,21,40,15,
Totals Booked,0,2,7,0,0,7,2,2,4,0,0,1,1,2,5,0,3,5,3,9,29,
,Imaging,,,,,,,,,,,,,,,,,,,,,
Imaging,,,,,,,,,,,,,,,,,,,0,0,0,
,Surgery,,,,,,,,,,,,,,,,,,,,,
Surgery,,,,,,1,,,,,0,,,,,,,,,0,1,
Surgery Avail,,,,,,3,,,,,4,,,,,,,,,4,3,
Surgery Consult New,,,0,,,,,0,,,,,,,,,,,,0,0,
Surgery Consult Returning,,,0,,,,,2,,,,,,,,,,,,2,0,
,Exotics,,,,,,,,,,,,,,,,,,,,,
EX Wellness New,,,,,0,,,0,,,0,,,0,,,0,,,0,,
EX Wellness Returning,,,,,0,,,0,,,0,,,0,,,0,,,0,,
EX Recheck,,,,,0,,,0,,,0,,,0,,,0,,,0,,
EX Tech,,,,,1,,,0,,,0,,,0,,,0,,,1,,
EX Sick New,,,,,0,,,0,,,0,,,0,,,0,,,0,,
EX Sick Returning,,,,,0,,,0,,,0,,,0,,,0,,,0,,
EX Surgery,,,,,0,,,0,,,0,,,0,,,0,,,0,,
EX Wellness Avail,,,,,4,,,4,,,4,,,4,,,4,,,20,,
EX Recheck Avail,,,,,1,,,3,,,3,,,3,,,3,,,13,,
EX Tech Avail,,,,,4,,,4,,,4,,,4,,,4,,,20,,
EX Sick Avail,,,,,2,,,3,,,3,,,3,,,3,,,14,,
Totals Booked,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,
EX Same Day UC Avail,,,,,,,,,,,,,,,,,,,,0,,
,Internal Medicine,,,,,,,,,,,,,,,,,,,,,
IM Consult New,,,,,,1,,1,,,,,,,,,,,0,1,1,
IM Consult Returning,,,1,,,1,,1,,,,,,,,,,,0,1,2,
IM Recheck,,,,,,1,,0,,,,,,,,,,,0,0,1,
IM Tech,,,,,,1,,0,,,,,,,,,,,0,0,1,
IM Procedure,,,,,,0,,0,,,,,,,,,,,0,0,0,
IM Avail,,,,,,5,,3,,,,,,,,,,,0,3,5,
Totals Booked,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,
,Cardiology,,,,,,,,,,,,,,,,,,,,,
Dr. D'Urso,,,,,,,,,,,,,,,,,,,,0,,
Avail,,,,,,,,,,,,,,,,,,,,0,,
Dr. Saelinger,,,,,,,,,,,,,,,,,,,,,0,
Avail,,,,,,,,,,,,,,,,,,,,,0,
,DOG PPL,,,,,,,,,,,,,,,,,,,,,
DOG PPL,,,,,,,,,,,,,,,,,,,,,,"6 VEs, 4 tech"
