,January Week 1 ( 1/4/26 - 1/10/26 ),,,,,,,,,,,,,,,,,,,,,
Edit: 1/5/26 4:55 pm,Monday 1/5,,,Tuesday 1/6,,,Wednesday 1/7,,,Thursday 1/8,,,Friday 1/9,,,Saturday 1/10,,,Weekly Totals,,,Sunday 1/4
,SO,VN,VE,SO,VN,VE,SO,VN,VE,SO,VN,VE,SO,VN,VE,SO,VN,VE,SO,VN,VE,DOG PPL
,Dentistry,,,,,,,,,,,,,,,,,,,,,
NEAT New,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,
NEAT Returning,,0,0,,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,1,
NAD New,,3,0,,2,5,0,4,3,,4,1,0,2,3,,4,8,0,19,20,
NAD Returning,,5,3,,6,9,13,3,7,,3,9,14,3,10,,4,9,27,24,47,
OE New,,0,5,,1,1,0,4,1,,2,1,1,1,1,,1,1,1,9,10,
OE Returning,,0,1,,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,2,
Dental Avail,,6,8,,7,6,1,5,2,,8,7,0,12,0,,8,3,1,46,26,
Totals Booked,0,8,9,0,9,15,13,11,11,0,9,13,15,6,14,0,9,18,28,52,80,
,Advanced Procedures,,,,,,,,,,,,,,,,,,,,,
AP,,3,,,4,2,,4,0,,3,1,,4,1,,3,3,0,21,7,
OE/AP,,0,,,0,1,,0,1,,1,0,,0,1,,0,0,0,1,3,
AP Avail,,0,,,0,0,,0,3,,0,2,,0,2,,0,0,0,0,7,
Post AP Recheck,,0,,,0,2,,1,0,,0,0,,1,0,,2,0,0,4,2,
Totals Booked,0,3,0,0,4,3,0,4,1,0,4,1,0,4,2,0,3,3,0,22,10,
,Wellness,,,,,,,,,,,,,,,,,,,,,
VE New,,1,1,,3,2,1,1,1,,1,4,1,2,4,,1,1,2,9,13,
VE Returning,,2,12,,3,6,3,1,7,,3,0,0,1,4,,2,3,3,12,32,
VE Avail,,2,0,,0,0,0,0,0,,0,0,3,1,0,,1,1,3,4,1,
Totals Booked,0,3,13,0,6,8,4,2,8,0,4,4,1,3,8,0,3,4,5,21,45,
UC Openings,,4,3,,3,3,3,4,3,,4,4,3,4,4,,4,3,6,23,20,
,Add-on Services,,,,,,,,,,,,,,,,,,,,,
Tech Services,,5,7,,3,6,3,0,6,,1,3,2,1,5,,3,4,5,13,31,
Bloodwork,,0,0,,0,0,2,0,3,,1,3,0,0,2,,0,1,2,1,9,
Add-on Avail,,1,0,,5,1,4,8,0,,6,3,6,7,1,,5,1,10,32,6,
Totals Booked,0,5,7,0,3,6,5,0,9,0,2,6,2,1,7,0,3,5,7,14,40,
,Imaging,,,,,,,,,,,,,,,,,,,,,
Imaging,,,,,,1,,1,,,1,,,,,,,,0,2,1,
,Surgery,,,,,,,,,,,,,,,,,,,,,
Surgery,,,,,,1,,,,,3,,,,,,,,,3,1,
Surgery Avail,,,,,,3,,,,,1,,,,,,,,,1,3,
Surgery Consult New,,,x,,,,,x,,,,,,,0,,,,,0,0,
Surgery Consult Returning,,,x,,,,,x,,,,,,,0,,,,,0,0,
,Exotics,,,,,,,,,,,,,,,,,,,,,
EX Wellness New,,,,,,,,1,,,0,,,0,,,0,,,1,,
EX Wellness Returning,,,,,,,,0,,,0,,,0,,,0,,,0,,
EX Recheck,,,,,,,,1,,,0,,,0,,,0,,,1,,
EX Tech,,,,,,,,1,,,0,,,0,,,0,,,1,,
EX Sick New,,,,,,,,0,,,0,,,0,,,1,,,1,,
EX Sick Returning,,,,,,,,0,,,0,,,0,,,0,,,0,,
EX Surgery,,,,,,,,1,,,0,,,0,,,0,,,1,,
EX Wellness Avail,,,,,,,,0,,,4,,,4,,,4,,,12,,
EX Recheck Avail,,,,,,,,1,,,3,,,3,,,3,,,10,,
EX Tech Avail,,,,,,,,4,,,4,,,4,,,4,,,16,,
EX Sick Avail,,,,,,,,0,,,3,,,3,,,2,,,8,,
Totals Booked,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,,5,,
EX Same Day UC Avail,,,,,,,,,,,,,,,,,,,,0,,
,Internal Medicine,,,,,,,,,,,,,,,,,,,,,
IM Consult New,,,1,,,1,,0,,,,,,,,,,,0,0,2,
IM Consult Returning,,,1,,,1,,4,,,,,,,,,,,0,4,2,
IM Recheck,,,0,,,0,,2,,,,,,,,,,,0,2,0,
IM Tech,,,0,,,0,,0,,,,,,,,,,,0,0,0,
IM Procedure,,,0,,,1,,0,,,,,,,,,,,0,0,1,
IM Avail,,,0,,,0,,0,,,,,,,,,,,0,0,0,
Totals Booked,0,0,2,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,6,5,
,Cardiology,,,,,,,,,,,,,,,,,,,,,
Dr. D'Urso,,,,,,,,,,,6,,,,,,,,,6,,
Avail,,,,,,,,,,,4,,,,,,,,,4,,
Dr. Saelinger,,,,,,6,,,,,,,,,,,,,,,6,
Avail,,,,,,4,,,,,,,,,,,,,,,4,
,DOG PPL,,,,,,,,,,,,,,,,,,,,,
DOG PPL,,,,,,,,,,,,,,,,,,,,,,CLOSED
